"filename", "language", "Python", "JSON", "Markdown", "comment", "blank", "total"
"e:\workspace-joao\apis\projetos\ficha-facil\PENDENCIAS.md", "Markdown", 0, 0, 177, 0, 56, 233
"e:\workspace-joao\apis\projetos\ficha-facil\PLANO-APP.md", "Markdown", 0, 0, 54, 0, 24, 78
"e:\workspace-joao\apis\projetos\ficha-facil\auditar_descricoes.py", "Python", 65, 0, 0, 21, 14, 100
"e:\workspace-joao\apis\projetos\ficha-facil\checar_schema.py", "Python", 36, 0, 0, 7, 8, 51
"e:\workspace-joao\apis\projetos\ficha-facil\dados\acoes.json", "JSON", 0, 408, 0, 0, 0, 408
"e:\workspace-joao\apis\projetos\ficha-facil\dados\caracteristicas.json", "JSON", 0, 15727, 0, 0, 0, 15727
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alteracoes_da_revelacao_em_carne.json", "JSON", 0, 98, 0, 0, 0, 98
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos.json", "JSON", 0, 135, 0, 0, 0, 135
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos_de_impedimento.json", "JSON", 0, 54, 0, 0, 0, 54
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\areas_de_efeito.json", "JSON", 0, 36, 0, 0, 0, 36
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\atitudes.json", "JSON", 0, 27, 0, 0, 0, 27
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\atributos.json", "JSON", 0, 36, 0, 0, 0, 36
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\beneficios_do_terceiro_olho.json", "JSON", 0, 55, 0, 0, 0, 55
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\categorias_de_arma.json", "JSON", 0, 20, 0, 0, 0, 20
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\categorias_de_armadura.json", "JSON", 0, 29, 0, 0, 0, 29
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\constelacoes.json", "JSON", 0, 79, 0, 0, 0, 79
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\criaturas.json", "JSON", 0, 14, 0, 0, 0, 14
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\custos_de_acao.json", "JSON", 0, 28, 0, 0, 0, 28
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_da_mao_espalmada.json", "JSON", 0, 68, 0, 0, 0, 68
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_canalizar_divindade.json", "JSON", 0, 127, 0, 0, 0, 127
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_golpe_astuto.json", "JSON", 0, 215, 0, 0, 0, 215
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_golpe_brutal.json", "JSON", 0, 109, 0, 0, 0, 109
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_dos_passos_feericos.json", "JSON", 0, 102, 0, 0, 0, 102
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\escolas_de_magia.json", "JSON", 0, 53, 0, 0, 0, 53
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\estados.json", "JSON", 0, 56, 0, 0, 0, 56
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ferramentas.json", "JSON", 0, 831, 0, 0, 0, 831
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\graus_de_cobertura.json", "JSON", 0, 32, 0, 0, 0, 32
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\idiomas.json", "JSON", 0, 134, 0, 0, 0, 134
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\invocacoes_misticas.json", "JSON", 0, 979, 0, 0, 0, 979
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\itens.json", "JSON", 0, 3917, 0, 0, 0, 3917
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\listas_de_iniciado_em_magia.json", "JSON", 0, 24, 0, 0, 0, 24
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\listas_de_magia.json", "JSON", 0, 130, 0, 0, 0, 130
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\maestrias_de_arma.json", "JSON", 0, 178, 0, 0, 0, 178
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\magias.json", "JSON", 0, 20172, 0, 0, 0, 20172
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\manifestacoes_da_ordem.json", "JSON", 0, 49, 0, 0, 0, 49
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\manobras.json", "JSON", 0, 653, 0, 0, 0, 653
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_aspecto_dos_selvagens.json", "JSON", 0, 54, 0, 0, 0, 54
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_furia_dos_selvagens.json", "JSON", 0, 85, 0, 0, 0, 85
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_furia_elemental.json", "JSON", 0, 72, 0, 0, 0, 72
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_golpes_abencoados.json", "JSON", 0, 53, 0, 0, 0, 53
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_metamagia.json", "JSON", 0, 242, 0, 0, 0, 242
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_poder_dos_selvagens.json", "JSON", 0, 74, 0, 0, 0, 74
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ordens_divinas.json", "JSON", 0, 84, 0, 0, 0, 84
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ordens_primais.json", "JSON", 0, 84, 0, 0, 0, 84
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\pericias.json", "JSON", 0, 103, 0, 0, 0, 103
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\propriedades_de_arma.json", "JSON", 0, 273, 0, 0, 0, 273
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\riscos.json", "JSON", 0, 58, 0, 0, 0, 58
