"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"e:\workspace-joao\apis\projetos\ficha-facil\PENDENCIAS.md", "Markdown", 0, 91, 0, 0, 24, 115
"e:\workspace-joao\apis\projetos\ficha-facil\auditar_descricoes.py", "Python", 65, 0, 0, 21, 14, 100
"e:\workspace-joao\apis\projetos\ficha-facil\checar_schema.py", "Python", 36, 0, 0, 7, 8, 51
"e:\workspace-joao\apis\projetos\ficha-facil\dados\caracteristicas.json", "JSON", 0, 0, 2858, 0, 0, 2858
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alteracoes_da_revelacao_em_carne.json", "JSON", 0, 0, 98, 0, 0, 98
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos.json", "JSON", 0, 0, 43, 0, 0, 43
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos_de_impedimento.json", "JSON", 0, 0, 5, 0, 0, 5
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_dos_passos_feericos.json", "JSON", 0, 0, 2, 0, 0, 2
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ferramentas.json", "JSON", 0, 0, 456, 0, 0, 456
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\itens.json", "JSON", 0, 0, 3447, 0, 0, 3447
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\listas_de_magia.json", "JSON", 0, 0, 12, 0, 0, 12
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\magias.json", "JSON", 0, 0, 13630, 0, 0, 13630
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\manifestacoes_da_ordem.json", "JSON", 0, 0, 49, 0, 0, 49
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_metamagia.json", "JSON", 0, 0, 242, 0, 0, 242
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\propriedades_de_arma.json", "JSON", 0, 0, 161, 0, 0, 161
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\sentidos.json", "JSON", 0, 0, 5, 0, 0, 5
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\surtos_de_magia_selvagem.json", "JSON", 0, 0, 677, 0, 0, 677
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\tipos_de_efeito.json", "JSON", 0, 0, 55, 0, 0, 55
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\usos_da_inspiracao_de_bardo.json", "JSON", 0, 0, 63, 0, 0, 63
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\valores_derivados.json", "JSON", 0, 0, 926, 0, 0, 926
"e:\workspace-joao\apis\projetos\ficha-facil\dados\classes.json", "JSON", 0, 0, 1214, 0, 0, 1214
"e:\workspace-joao\apis\projetos\ficha-facil\dados\subclasses.json", "JSON", 0, 0, 217, 0, 0, 217
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\descricoes_magias.py", "Python", 1337, 0, 0, 21, 11, 1369
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_ajustes_equipamento.py", "Python", 124, 0, 0, 17, 13, 154
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_ajustes_movimento_forcado.py", "Python", 59, 0, 0, 15, 14, 88
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_bardo.py", "Python", 536, 0, 0, 15, 58, 609
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_derivados.py", "Python", 267, 0, 0, 25, 15, 307
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_equipamento.py", "Python", 170, 0, 0, 26, 22, 218
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_feiticeiro.py", "Python", 1046, 0, 0, 24, 93, 1163
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_magias_detalhadas.py", "Python", 124, 0, 0, 28, 23, 175
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_pontos_de_vida.py", "Python", 252, 0, 0, 44, 24, 320
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_primitivos.py", "Python", 117, 0, 0, 20, 17, 154
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_propriedades_e_proficiencias.py", "Python", 128, 0, 0, 13, 13, 154
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\parse_equipamento.py", "Python", 325, 0, 0, 38, 46, 409
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\parse_magias.py", "Python", 276, 0, 0, 50, 34, 360
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase3a-magias.md", "Markdown", 0, 109, 0, 0, 36, 145
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase4-equipamento.md", "Markdown", 0, 94, 0, 0, 35, 129
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase5-derivados.md", "Markdown", 0, 100, 0, 0, 36, 136
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase6-capitulo7-completo.md", "Markdown", 0, 67, 0, 0, 22, 89
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase7-bardo-feiticeiro.md", "Markdown", 0, 108, 0, 0, 35, 143
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase8-pontos-de-vida.md", "Markdown", 0, 108, 0, 0, 39, 147
"e:\workspace-joao\apis\projetos\ficha-facil\teste_negativo_feiticeiro.py", "Python", 135, 0, 0, 8, 50, 193
"e:\workspace-joao\apis\projetos\ficha-facil\teste_negativo_pontos_de_vida.py", "Python", 99, 0, 0, 7, 36, 142
"e:\workspace-joao\apis\projetos\ficha-facil\validar.py", "Python", 372, 0, 0, 43, 34, 449
"e:\workspace-joao\apis\projetos\ficha-facil\verificar_derivacao.py", "Python", 88, 0, 0, 12, 20, 120
"Total", "-", 5556, 677, 24160, 434, 772, 31599
